#abgabe.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
Insertion Sort,1,6300,0
Insertion Sort,2,1200,1
Insertion Sort,3,600,1
Insertion Sort,4,600,2
Insertion Sort,5,500,3
Insertion Sort,6,4900,3
Insertion Sort,7,1300,3
Insertion Sort,8,400,3
Insertion Sort,9,900,3
Insertion Sort,10,400,3
Insertion Sort,11,700,8
Insertion Sort,12,600,8
Insertion Sort,13,1100,8
Insertion Sort,14,1700,8
Insertion Sort,15,1800,8
Insertion Sort,16,600,8
Insertion Sort,17,500,8
Insertion Sort,18,900,8
Insertion Sort,19,1100,8
Insertion Sort,20,3200,8
Insertion Sort,21,2400,8
Insertion Sort,22,2500,8
Insertion Sort,23,2000,8
Insertion Sort,24,1600,8
Insertion Sort,25,2000,8
Insertion Sort,26,1100,8
Insertion Sort,27,1400,8
Insertion Sort,28,2000,8
Insertion Sort,29,1600,8
Insertion Sort,30,1300,8
Insertion Sort,31,900,8
Insertion Sort,32,500,8
Insertion Sort,33,500,8
Insertion Sort,34,400,0
Insertion Sort,35,500,1
Insertion Sort,36,600,1
Insertion Sort,37,500,2
Insertion Sort,38,500,3
Insertion Sort,39,1800,3
Insertion Sort,40,900,3
Insertion Sort,41,400,3
Insertion Sort,42,700,3
Insertion Sort,43,500,3
Insertion Sort,44,500,8
Insertion Sort,45,500,8
Insertion Sort,46,800,8
Insertion Sort,47,900,8
Insertion Sort,48,1200,8
Insertion Sort,49,500,8
Insertion Sort,50,500,8
Insertion Sort,51,700,8
Insertion Sort,52,1100,8
Insertion Sort,53,2400,8
Insertion Sort,54,1800,8
Insertion Sort,55,1800,8
Insertion Sort,56,1600,8
Insertion Sort,57,1500,8
Insertion Sort,58,1700,8
Insertion Sort,59,1300,8
Insertion Sort,60,1200,8
Insertion Sort,61,1200,8
Insertion Sort,62,900,8
Insertion Sort,63,800,8
Insertion Sort,64,700,8
Insertion Sort,65,700,8
Insertion Sort,66,500,8
Brute Force,67,2000,0
Brute Force,68,500,1
Brute Force,69,400,1
Brute Force,70,400,2
Brute Force,71,400,3
Brute Force,72,6000,3
Brute Force,73,2100,3
Brute Force,74,400,3
Brute Force,75,2000,3
Brute Force,76,400,3
Brute Force,77,500,8
Brute Force,78,400,8
Brute Force,79,1600,8
Brute Force,80,2000,8
Brute Force,81,2500,8
Brute Force,82,400,8
Brute Force,83,400,8
Brute Force,84,2100,8
Brute Force,85,9900,8
Brute Force,86,8200,8
Brute Force,87,77700,8
Brute Force,88,5400,8
Brute Force,89,4300,8
Brute Force,90,3500,8
Brute Force,91,3500,8
Brute Force,92,1600,8
Brute Force,93,2100,8
Brute Force,94,2400,8
Brute Force,95,2400,8
Brute Force,96,2100,8
Brute Force,97,1500,8
Brute Force,98,500,8
Brute Force,99,400,8
SplitValue - Random,100,3900,1
SplitValue - Random,101,600,2
SplitValue - Random,102,500,3
SplitValue - Random,103,11300,3
SplitValue - Random,104,1800,3
SplitValue - Random,105,600,3
SplitValue - Random,106,1600,3
SplitValue - Random,107,500,3
SplitValue - Random,108,400,8
SplitValue - Random,109,1600,8
SplitValue - Random,110,1500,8
SplitValue - Random,111,1700,8
SplitValue - Random,112,600,8
SplitValue - Random,113,1800,8
SplitValue - Random,114,1800,8
SplitValue - Random,115,1600,8
SplitValue - Random,116,1400,8
SplitValue - Random,117,1500,8
SplitValue - Random,118,1500,8
SplitValue - Random,119,1800,8
SplitValue - Random,120,1600,8
SplitValue - Random,121,1600,8
SplitValue - Random,122,2300,8
SplitValue - Random,123,2500,8
SplitValue - Random,124,1600,8
SplitValue - Random,125,1500,8
SplitValue - Random,126,1600,8
SplitValue - Random,127,500,8
SplitValue - First,128,800,1
SplitValue - First,129,600,2
SplitValue - First,130,500,3
SplitValue - First,131,1900,3
SplitValue - First,132,1000,3
SplitValue - First,133,500,3
SplitValue - First,134,900,3
SplitValue - First,135,500,3
SplitValue - First,136,500,8
SplitValue - First,137,900,8
SplitValue - First,138,800,8
SplitValue - First,139,800,8
SplitValue - First,140,500,8
SplitValue - First,141,800,8
SplitValue - First,142,800,8
SplitValue - First,143,800,8
SplitValue - First,144,700,8
SplitValue - First,145,800,8
SplitValue - First,146,700,8
SplitValue - First,147,700,8
SplitValue - First,148,1100,8
SplitValue - First,149,800,8
SplitValue - First,150,900,8
SplitValue - First,151,700,8
SplitValue - First,152,700,8
SplitValue - First,153,800,8
SplitValue - First,154,800,8
SplitValue - First,155,600,8
SplitValue - Median Of Three,156,500,1
SplitValue - Median Of Three,157,700,2
SplitValue - Median Of Three,158,500,3
SplitValue - Median Of Three,159,6000,3
SplitValue - Median Of Three,160,2400,3
SplitValue - Median Of Three,161,600,3
SplitValue - Median Of Three,162,1800,3
SplitValue - Median Of Three,163,600,3
SplitValue - Median Of Three,164,500,8
SplitValue - Median Of Three,165,1700,8
SplitValue - Median Of Three,166,1700,8
SplitValue - Median Of Three,167,1900,8
SplitValue - Median Of Three,168,600,8
SplitValue - Median Of Three,169,1700,8
SplitValue - Median Of Three,170,1600,8
SplitValue - Median Of Three,171,2200,8
SplitValue - Median Of Three,172,2700,8
SplitValue - Median Of Three,173,2300,8
SplitValue - Median Of Three,174,2500,8
SplitValue - Median Of Three,175,2300,8
SplitValue - Median Of Three,176,2100,8
SplitValue - Median Of Three,177,2000,8
SplitValue - Median Of Three,178,2200,8
SplitValue - Median Of Three,179,1800,8
SplitValue - Median Of Three,180,1600,8
SplitValue - Median Of Three,181,1900,8
SplitValue - Median Of Three,182,1600,8
SplitValue - Median Of Three,183,500,8
Split,184,3800,8
Split,185,700,8
Split,186,8300,8
Split,187,2200,8
Split,188,2300,8
Split,189,2400,8
Split,190,2400,8
Split,191,3200,8
Split,192,2400,8
Split,193,2100,8
Split,194,2400,8
Split,195,1900,8
Split,196,1800,8
Split,197,2300,8
Split,198,1900,8
Split,199,2000,8
Split,200,2500,8
Split,201,2700,8
Split,202,1900,8
Split,203,2400,8
Split,204,3400,8
Split,205,6400,8
Split,206,3500,8
Split,207,3600,8
Split,208,3400,8
Split,209,3200,8
Split,210,2300,8
Split,211,2300,8
Split,212,2900,8
Split,213,3200,8
Split,214,2900,8
Split,215,2800,8
Split,216,4700,8
Split,217,4000,8
Split,218,7600,8
Split,219,2800,8
Split,220,4300,8
Split,221,4100,8
Split,222,2800,8
Split,223,2400,8
Split,224,3800,8
Split,225,3100,8
Split,226,2400,8
Split,227,2400,8
Split,228,4000,8
Split,229,3200,8
Split,230,2400,8
Split,231,1900,8
Split,232,2800,8
Split,233,1800,8
Split,234,1800,8
Split,235,2200,8
Split,236,2200,8
Split,237,1900,8
Split,238,1900,8
Split,239,2100,8
Split,240,2200,8
Split,241,2000,8
Split,242,2200,8
Split,243,2100,8
Split,244,1900,8
Split,245,2000,8
Split,246,2300,8
Split,247,1900,8
Split,248,2300,8
Split,249,2900,8
Split,250,2800,8
Split,251,2200,8
Split,252,2000,8
Split,253,3400,8
Split,254,3000,8
Split,255,2300,8
Split,256,2300,8
Split,257,2900,8
Split,258,2600,8
Split,259,2000,8
Split,260,2200,8
Split,261,2600,8
Split,262,2800,8
Split,263,2200,8
Split,264,2400,8
Split,265,2800,8
Split,266,3700,8
Split,267,3400,8
Split,268,2600,8
Split,269,2200,8
Split,270,3000,8
Split,271,3900,8
Split,272,3300,8
Split,273,2300,8
Split,274,3000,8
Split,275,2900,8
Split,276,3900,8
Split,277,3400,8
Split,278,2700,8
Split,279,2400,8
Split,280,2900,8
Split,281,5000,8
Split,282,3600,8
Split,283,2400,8
Split,284,2700,8
Split,285,3500,8
Split,286,4100,8
Split,287,3700,8
Split,288,2800,8
Split,289,1900,8
Split,290,2100,8
Split,291,2100,8
Split,292,2000,8
Split,293,2300,8
Split,294,2800,8
Split,295,2000,8
Split,296,1700,8
Split,297,2100,8
Split,298,2100,8
Split,299,1700,8
Split,300,2300,8
Split,301,2100,8
Split,302,500,8
Split,303,1600,8
Split,304,1500,8
Split,305,1800,8
Split,306,1500,8
Combination,307,8700,8
Combination,308,3800,8
Combination,309,5800,8
Combination,310,5000,8
Combination,311,4500,8
Combination,312,5200,8
Combination,313,1500,8
Combination,314,3200,8
Combination,315,3900,8
Combination,316,4800,8
Combination,317,4900,8
Combination,318,4700,8
Combination,319,1400,8
Combination,320,2500,8
Combination,321,3100,8
Combination,322,3700,8
Combination,323,5000,8
Combination,324,7000,8
Combination,325,3100,8
Combination,326,4100,8
Combination,327,5400,8
Combination,328,4000,8
Combination,329,3700,8
Combination,330,3600,8
Combination,331,1400,8
Combination,332,3400,8
Combination,333,3800,8
Combination,334,3600,8
Combination,335,3700,8
Combination,336,3700,8
Combination,337,1400,8
Combination,338,2100,8
Combination,339,3800,8
Combination,340,4000,8
Combination,341,3900,8
Combination,342,3700,8
Combination,343,2400,8
Combination,344,2700,8
Combination,345,3200,8
Combination,346,3300,8
Combination,347,3300,8
Combination,348,3100,8
Combination,349,1400,8
Combination,350,3100,8
Combination,351,3200,8
Combination,352,3200,8
Combination,353,3900,8
Combination,354,3600,8
Combination,355,1400,8
Combination,356,2700,8
Combination,357,3300,8
Combination,358,4000,8
Combination,359,3300,8
Combination,360,2900,8
Combination,361,2500,8
Combination,362,3500,8
Combination,363,5000,8
Combination,364,4900,8
Combination,365,6100,8
Combination,366,6500,8
Combination,367,1500,8
Combination,368,4600,8
Combination,369,4000,8
Combination,370,6200,8
Combination,371,7100,8
Combination,372,6600,8
Combination,373,1800,8
Combination,374,2800,8
Combination,375,4500,8
Combination,376,6800,8
Combination,377,6000,8
Combination,378,5800,8
Combination,379,2200,8
Combination,380,4200,8
Combination,381,5800,8
Combination,382,5200,8
Combination,383,5600,8
Combination,384,5400,8
Combination,385,1700,8
Combination,386,3600,8
Combination,387,3700,8
Combination,388,5900,8
Combination,389,6100,8
Combination,390,4900,8
Combination,391,1700,8
Combination,392,2600,8
Combination,393,4400,8
Combination,394,6700,8
Combination,395,5200,8
Combination,396,15700,8
Combination,397,3900,8
Combination,398,5900,8
Combination,399,4100,8
Combination,400,4000,8
Combination,401,10900,8
Combination,402,8200,8
Combination,403,2200,8
Combination,404,4200,8
Combination,405,11300,8
Combination,406,3400,8
Combination,407,3300,8
Combination,408,3100,8
Combination,409,1900,8
Combination,410,2300,8
Combination,411,3800,8
Combination,412,2400,8
Combination,413,2200,8
Combination,414,2200,8
Combination,415,1700,8
Combination,416,2100,8
Combination,417,2700,8
Combination,418,2800,8
Combination,419,3700,8
Combination,420,4200,8
Combination,421,1500,8
Combination,422,3600,8
Combination,423,2300,8
Combination,424,3500,8
Combination,425,4000,8
Combination,426,3600,8
Combination,427,1500,8
Combination,428,2100,8
Combination,429,2600,8
Combination,430,3300,8
Combination,431,4000,8
Combination,432,3600,8
Combination,433,1900,8
Combination,434,5300,8
Combination,435,2800,8
Combination,436,2600,8
Combination,437,3700,8
Combination,438,3100,8
Combination,439,1300,8
Combination,440,2300,8
Combination,441,2300,8
Combination,442,2500,8
Combination,443,3800,8
Combination,444,3300,8
Combination,445,1200,8
Combination,446,1700,8
Combination,447,2500,8
Combination,448,4500,8
Combination,449,3500,8
Combination,450,3000,8
Combination,451,1900,8
Combination,452,2500,8
Combination,453,1900,8
Combination,454,2500,8
Combination,455,2300,8
Combination,456,2600,8
Combination,457,1500,8
Combination,458,2200,8
Combination,459,2000,8
Combination,460,2400,8
Combination,461,2800,8
Combination,462,2600,8
Combination,463,1500,8
Combination,464,1800,8
Combination,465,2400,8
Combination,466,2900,8
Combination,467,2700,8
Combination,468,2500,8
Closest Pair: set1 - Random,469,696600,100
Closest Pair: set1 - Random,470,596200,200
Closest Pair: set1 - Random,471,550600,300
Closest Pair: set1 - Random,472,691600,400
Closest Pair: set1 - Random,473,1041700,500
Closest Pair: set1 - Random,474,1867000,600
Closest Pair: set1 - Random,475,1811800,700
Closest Pair: set1 - Random,476,2699700,800
Closest Pair: set1 - Random,477,2660700,900
Closest Pair: set1 - Random,478,2956900,1000
Closest Pair: set1 - Random,479,1948100,1100
Closest Pair: set1 - Random,480,2375700,1200
Closest Pair: set1 - Random,481,2644800,1300
Closest Pair: set1 - Random,482,2903300,1400
Closest Pair: set1 - Random,483,3459400,1500
Closest Pair: set1 - Random,484,3772000,1600
Closest Pair: set1 - Random,485,6765800,1700
Closest Pair: set1 - Random,486,5035200,1800
Closest Pair: set1 - Random,487,5198000,1900
Closest Pair: set1 - Random,488,5785900,2000
Closest Pair: set1 - Random,489,6533300,2100
Closest Pair: set1 - Random,490,6718100,2200
Closest Pair: set1 - Random,491,7488100,2300
Closest Pair: set1 - Random,492,9705200,2400
Closest Pair: set1 - Random,493,8614600,2500
Closest Pair: set1 - Random,494,9955900,2600
Closest Pair: set1 - Random,495,10008400,2700
Closest Pair: set1 - Random,496,11889300,2800
Closest Pair: set1 - Random,497,12117900,2900
Closest Pair: set1 - Random,498,12953600,3000
Closest Pair: set1 - Random,499,13300200,3100
Closest Pair: set1 - Random,500,14645900,3200
Closest Pair: set1 - Random,501,14836700,3300
Closest Pair: set1 - Random,502,17146400,3400
Closest Pair: set1 - Random,503,21209100,3500
Closest Pair: set1 - Random,504,17976000,3600
Closest Pair: set1 - Random,505,19802700,3700
Closest Pair: set1 - Random,506,19958200,3800
Closest Pair: set1 - Random,507,21149900,3900
Closest Pair: set1 - Random,508,22139000,4000
Closest Pair: set1 - Random,509,23355400,4100
Closest Pair: set1 - Random,510,25360800,4200
Closest Pair: set1 - Random,511,27529200,4300
Closest Pair: set1 - Random,512,26563900,4400
Closest Pair: set1 - Random,513,29353700,4500
Closest Pair: set1 - Random,514,29414200,4600
Closest Pair: set1 - Random,515,30829000,4700
Closest Pair: set1 - Random,516,33717500,4800
Closest Pair: set1 - Random,517,34495300,4900
Closest Pair: set1 - Random,518,35399500,5000
Closest Pair: set1 - Random,519,38918300,5100
Closest Pair: set1 - Random,520,40341300,5200
Closest Pair: set1 - Random,521,38596700,5300
Closest Pair: set1 - Random,522,39914900,5400
Closest Pair: set1 - Random,523,43517800,5500
Closest Pair: set1 - Random,524,44533400,5600
Closest Pair: set1 - Random,525,45393900,5700
Closest Pair: set1 - Random,526,48778400,5800
Closest Pair: set1 - Random,527,50337800,5900
Closest Pair: set1 - Random,528,52811500,6000
Closest Pair: set1 - Random,529,59226300,6100
Closest Pair: set1 - Random,530,57378900,6200
Closest Pair: set1 - Random,531,56677000,6300
Closest Pair: set1 - Random,532,62113100,6400
Closest Pair: set1 - Random,533,71828600,6500
Closest Pair: set1 - Random,534,61014400,6600
Closest Pair: set1 - Random,535,67514600,6700
Closest Pair: set1 - Random,536,70343400,6800
Closest Pair: set1 - Random,537,65239600,6900
Closest Pair: set1 - Random,538,75821900,7000
Closest Pair: set1 - Random,539,73174600,7100
Closest Pair: set1 - Random,540,78287600,7200
Closest Pair: set1 - Random,541,84895600,7300
Closest Pair: set1 - Random,542,78857800,7400
Closest Pair: set1 - Random,543,86733400,7500
Closest Pair: set1 - Random,544,85593100,7600
Closest Pair: set1 - Random,545,86035300,7700
Closest Pair: set1 - Random,546,88358200,7800
Closest Pair: set1 - Random,547,87129600,7900
Closest Pair: set1 - Random,548,102735900,8000
Closest Pair: set1 - Random,549,105623400,8100
Closest Pair: set1 - Random,550,102989800,8200
Closest Pair: set1 - Random,551,111052600,8300
Closest Pair: set1 - Random,552,106094900,8400
Closest Pair: set1 - Random,553,105810300,8500
Closest Pair: set1 - Random,554,120593500,8600
Closest Pair: set1 - Random,555,118983500,8700
Closest Pair: set1 - Random,556,120573800,8800
Closest Pair: set1 - Random,557,126199600,8900
Closest Pair: set1 - Random,558,129089300,9000
Closest Pair: set1 - Random,559,129674600,9100
Closest Pair: set1 - Random,560,119195000,9200
Closest Pair: set1 - Random,561,149207600,9300
