#brute-force.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
Brute Force,67,4800,0
Brute Force,68,700,1
Brute Force,69,500,1
Brute Force,70,500,2
Brute Force,71,400,3
Brute Force,72,8100,3
Brute Force,73,2300,3
Brute Force,74,600,3
Brute Force,75,1700,3
Brute Force,76,400,3
Brute Force,77,500,8
Brute Force,78,400,8
Brute Force,79,1600,8
Brute Force,80,2800,8
Brute Force,81,2900,8
Brute Force,82,500,8
Brute Force,83,400,8
Brute Force,84,1700,8
Brute Force,85,8500,8
Brute Force,86,7500,8
Brute Force,87,7400,8
Brute Force,88,6500,8
Brute Force,89,5000,8
Brute Force,90,3900,8
Brute Force,91,5200,8
Brute Force,92,1800,8
Brute Force,93,2100,8
Brute Force,94,3000,8
Brute Force,95,2600,8
Brute Force,96,2100,8
Brute Force,97,1400,8
Brute Force,98,500,8
Brute Force,99,400,8
