#closest-pair.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
Closest Pair: set1 - Random,469,852200,100
Closest Pair: set1 - Random,470,2115700,200
Closest Pair: set1 - Random,471,556700,300
Closest Pair: set1 - Random,472,696800,400
Closest Pair: set1 - Random,473,1091300,500
Closest Pair: set1 - Random,474,1684000,600
Closest Pair: set1 - Random,475,1818100,700
Closest Pair: set1 - Random,476,2836000,800
Closest Pair: set1 - Random,477,1598400,900
Closest Pair: set1 - Random,478,1676100,1000
Closest Pair: set1 - Random,479,1882200,1100
Closest Pair: set1 - Random,480,2333800,1200
Closest Pair: set1 - Random,481,2709400,1300
Closest Pair: set1 - Random,482,3044700,1400
Closest Pair: set1 - Random,483,3234400,1500
Closest Pair: set1 - Random,484,3852900,1600
Closest Pair: set1 - Random,485,4121900,1700
Closest Pair: set1 - Random,486,4638800,1800
Closest Pair: set1 - Random,487,5133700,1900
Closest Pair: set1 - Random,488,5784500,2000
Closest Pair: set1 - Random,489,6280500,2100
Closest Pair: set1 - Random,490,7029100,2200
Closest Pair: set1 - Random,491,7599800,2300
Closest Pair: set1 - Random,492,8074400,2400
Closest Pair: set1 - Random,493,8681900,2500
Closest Pair: set1 - Random,494,9298100,2600
Closest Pair: set1 - Random,495,10004200,2700
Closest Pair: set1 - Random,496,10858200,2800
Closest Pair: set1 - Random,497,12480300,2900
Closest Pair: set1 - Random,498,12912700,3000
Closest Pair: set1 - Random,499,12642600,3100
Closest Pair: set1 - Random,500,13981300,3200
Closest Pair: set1 - Random,501,13864400,3300
Closest Pair: set1 - Random,502,14830400,3400
Closest Pair: set1 - Random,503,17128100,3500
Closest Pair: set1 - Random,504,17594400,3600
Closest Pair: set1 - Random,505,19649200,3700
Closest Pair: set1 - Random,506,20923800,3800
Closest Pair: set1 - Random,507,18719800,3900
Closest Pair: set1 - Random,508,22607000,4000
Closest Pair: set1 - Random,509,26899100,4100
Closest Pair: set1 - Random,510,22074900,4200
Closest Pair: set1 - Random,511,23337100,4300
Closest Pair: set1 - Random,512,27603500,4400
Closest Pair: set1 - Random,513,26762100,4500
Closest Pair: set1 - Random,514,29306100,4600
Closest Pair: set1 - Random,515,31726900,4700
Closest Pair: set1 - Random,516,34868700,4800
Closest Pair: set1 - Random,517,34295100,4900
Closest Pair: set1 - Random,518,37251000,5000
Closest Pair: set1 - Random,519,35751400,5100
Closest Pair: set1 - Random,520,34054700,5200
Closest Pair: set1 - Random,521,43024500,5300
Closest Pair: set1 - Random,522,39492900,5400
Closest Pair: set1 - Random,523,43456700,5500
Closest Pair: set1 - Random,524,41786700,5600
Closest Pair: set1 - Random,525,40836300,5700
Closest Pair: set1 - Random,526,47026400,5800
Closest Pair: set1 - Random,527,50276600,5900
Closest Pair: set1 - Random,528,52355000,6000
Closest Pair: set1 - Random,529,50938800,6100
Closest Pair: set1 - Random,530,52988400,6200
Closest Pair: set1 - Random,531,60903100,6300
Closest Pair: set1 - Random,532,55306600,6400
Closest Pair: set1 - Random,533,57851300,6500
Closest Pair: set1 - Random,534,62393100,6600
