#combination.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
Combination,307,8700,8
Combination,308,400,8
Combination,309,500,8
Combination,310,600,8
Combination,311,600,8
Combination,312,700,8
Combination,313,300,8
Combination,314,400,8
Combination,315,400,8
Combination,316,500,8
Combination,317,400,8
Combination,318,400,8
Combination,319,200,8
Combination,320,300,8
Combination,321,400,8
Combination,322,400,8
Combination,323,500,8
Combination,324,300,8
Combination,325,200,8
Combination,326,400,8
Combination,327,300,8
Combination,328,300,8
Combination,329,200,8
Combination,330,500,8
Combination,331,300,8
Combination,332,300,8
Combination,333,400,8
Combination,334,300,8
Combination,335,400,8
Combination,336,400,8
Combination,337,200,8
Combination,338,300,8
Combination,339,300,8
Combination,340,400,8
Combination,341,400,8
Combination,342,300,8
Combination,343,300,8
Combination,344,200,8
Combination,345,300,8
Combination,346,600,8
Combination,347,200,8
Combination,348,300,8
Combination,349,400,8
Combination,350,400,8
Combination,351,400,8
Combination,352,400,8
Combination,353,300,8
Combination,354,400,8
Combination,355,200,8
Combination,356,400,8
Combination,357,300,8
Combination,358,500,8
Combination,359,400,8
Combination,360,400,8
Combination,361,300,8
Combination,362,400,8
Combination,363,600,8
Combination,364,400,8
Combination,365,800,8
Combination,366,500,8
Combination,367,300,8
Combination,368,300,8
Combination,369,400,8
Combination,370,900,8
Combination,371,400,8
Combination,372,800,8
Combination,373,300,8
Combination,374,400,8
Combination,375,400,8
Combination,376,400,8
Combination,377,400,8
Combination,378,400,8
Combination,379,500,8
Combination,380,300,8
Combination,381,500,8
Combination,382,300,8
Combination,383,400,8
Combination,384,400,8
Combination,385,200,8
Combination,386,400,8
Combination,387,300,8
Combination,388,500,8
Combination,389,400,8
Combination,390,300,8
Combination,391,200,8
Combination,392,200,8
Combination,393,400,8
Combination,394,300,8
Combination,395,400,8
Combination,396,300,8
Combination,397,300,8
Combination,398,200,8
Combination,399,300,8
Combination,400,300,8
Combination,401,300,8
Combination,402,300,8
Combination,403,300,8
Combination,404,300,8
Combination,405,300,8
Combination,406,500,8
Combination,407,400,8
Combination,408,200,8
Combination,409,300,8
Combination,410,400,8
Combination,411,400,8
Combination,412,400,8
Combination,413,300,8
Combination,414,400,8
Combination,415,300,8
Combination,416,300,8
Combination,417,400,8
Combination,418,400,8
Combination,419,400,8
Combination,420,500,8
Combination,421,300,8
Combination,422,300,8
Combination,423,400,8
Combination,424,500,8
Combination,425,600,8
Combination,426,600,8
Combination,427,200,8
Combination,428,400,8
Combination,429,400,8
Combination,430,500,8
Combination,431,400,8
Combination,432,400,8
Combination,433,300,8
Combination,434,300,8
Combination,435,300,8
Combination,436,400,8
Combination,437,500,8
Combination,438,400,8
Combination,439,400,8
Combination,440,300,8
Combination,441,400,8
Combination,442,400,8
Combination,443,400,8
Combination,444,400,8
Combination,445,200,8
Combination,446,300,8
Combination,447,400,8
Combination,448,400,8
Combination,449,500,8
Combination,450,400,8
Combination,451,300,8
Combination,452,300,8
Combination,453,300,8
Combination,454,400,8
Combination,455,200,8
Combination,456,400,8
Combination,457,300,8
Combination,458,200,8
Combination,459,300,8
Combination,460,300,8
Combination,461,300,8
Combination,462,400,8
Combination,463,300,8
Combination,464,400,8
Combination,465,400,8
Combination,466,500,8
Combination,467,400,8
Combination,468,300,8
