#first.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
SplitValue - First,128,34600,1
SplitValue - First,129,4900,2
SplitValue - First,130,6100,3
SplitValue - First,131,1400,3
SplitValue - First,132,700,3
SplitValue - First,133,200,3
SplitValue - First,134,300,3
SplitValue - First,135,200,3
SplitValue - First,136,200,8
SplitValue - First,137,300,8
SplitValue - First,138,400,8
SplitValue - First,139,300,8
SplitValue - First,140,200,8
SplitValue - First,141,200,8
SplitValue - First,142,300,8
SplitValue - First,143,300,8
SplitValue - First,144,200,8
SplitValue - First,145,200,8
SplitValue - First,146,300,8
SplitValue - First,147,400,8
SplitValue - First,148,300,8
SplitValue - First,149,300,8
SplitValue - First,150,300,8
SplitValue - First,151,300,8
SplitValue - First,152,300,8
SplitValue - First,153,200,8
SplitValue - First,154,200,8
SplitValue - First,155,4000,8
