#insertion-sort.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
Insertion Sort,1,6200,0
Insertion Sort,2,100,1
Insertion Sort,3,0,1
Insertion Sort,4,0,2
Insertion Sort,5,100,3
Insertion Sort,6,200,3
Insertion Sort,7,200,3
Insertion Sort,8,0,3
Insertion Sort,9,200,3
Insertion Sort,10,100,3
Insertion Sort,11,0,8
Insertion Sort,12,0,8
Insertion Sort,13,200,8
Insertion Sort,14,300,8
Insertion Sort,15,100,8
Insertion Sort,16,100,8
Insertion Sort,17,0,8
Insertion Sort,18,200,8
Insertion Sort,19,200,8
Insertion Sort,20,400,8
Insertion Sort,21,300,8
Insertion Sort,22,400,8
Insertion Sort,23,300,8
Insertion Sort,24,200,8
Insertion Sort,25,300,8
Insertion Sort,26,100,8
Insertion Sort,27,200,8
Insertion Sort,28,200,8
Insertion Sort,29,100,8
Insertion Sort,30,200,8
Insertion Sort,31,200,8
Insertion Sort,32,0,8
Insertion Sort,33,0,8
Insertion Sort,34,100,0
Insertion Sort,35,0,1
Insertion Sort,36,0,1
Insertion Sort,37,0,2
Insertion Sort,38,0,3
Insertion Sort,39,300,3
Insertion Sort,40,100,3
Insertion Sort,41,100,3
Insertion Sort,42,300,3
Insertion Sort,43,0,3
Insertion Sort,44,100,8
Insertion Sort,45,100,8
Insertion Sort,46,200,8
Insertion Sort,47,200,8
Insertion Sort,48,0,8
Insertion Sort,49,100,8
Insertion Sort,50,0,8
Insertion Sort,51,400,8
Insertion Sort,52,100,8
Insertion Sort,53,300,8
Insertion Sort,54,600,8
Insertion Sort,55,300,8
Insertion Sort,56,300,8
Insertion Sort,57,300,8
Insertion Sort,58,200,8
Insertion Sort,59,200,8
Insertion Sort,60,200,8
Insertion Sort,61,300,8
Insertion Sort,62,200,8
Insertion Sort,63,200,8
Insertion Sort,64,100,8
Insertion Sort,65,0,8
Insertion Sort,66,0,8
