#median-of-three.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
SplitValue - Median Of Three,156,3500,1
SplitValue - Median Of Three,157,400,2
SplitValue - Median Of Three,158,0,3
SplitValue - Median Of Three,159,9300,3
SplitValue - Median Of Three,160,400,3
SplitValue - Median Of Three,161,100,3
SplitValue - Median Of Three,162,200,3
SplitValue - Median Of Three,163,200,3
SplitValue - Median Of Three,164,0,8
SplitValue - Median Of Three,165,500,8
SplitValue - Median Of Three,166,300,8
SplitValue - Median Of Three,167,500,8
SplitValue - Median Of Three,168,100,8
SplitValue - Median Of Three,169,400,8
SplitValue - Median Of Three,170,400,8
SplitValue - Median Of Three,171,200,8
SplitValue - Median Of Three,172,300,8
SplitValue - Median Of Three,173,500,8
SplitValue - Median Of Three,174,300,8
SplitValue - Median Of Three,175,600,8
SplitValue - Median Of Three,176,300,8
SplitValue - Median Of Three,177,400,8
SplitValue - Median Of Three,178,400,8
SplitValue - Median Of Three,179,300,8
SplitValue - Median Of Three,180,400,8
SplitValue - Median Of Three,181,400,8
SplitValue - Median Of Three,182,300,8
SplitValue - Median Of Three,183,100,8
