#random.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
SplitValue - Random,100,8200,1
SplitValue - Random,101,300,2
SplitValue - Random,102,0,3
SplitValue - Random,103,12100,3
SplitValue - Random,104,300,3
SplitValue - Random,105,100,3
SplitValue - Random,106,300,3
SplitValue - Random,107,100,3
SplitValue - Random,108,0,8
SplitValue - Random,109,400,8
SplitValue - Random,110,300,8
SplitValue - Random,111,200,8
SplitValue - Random,112,0,8
SplitValue - Random,113,200,8
SplitValue - Random,114,200,8
SplitValue - Random,115,300,8
SplitValue - Random,116,200,8
SplitValue - Random,117,500,8
SplitValue - Random,118,300,8
SplitValue - Random,119,200,8
SplitValue - Random,120,100,8
SplitValue - Random,121,100,8
SplitValue - Random,122,100,8
SplitValue - Random,123,200,8
SplitValue - Random,124,100,8
SplitValue - Random,125,200,8
SplitValue - Random,126,200,8
SplitValue - Random,127,200,8
