#split.csv
#Kristijan
#Todorovic
#11806442
group,number,duration,size
Split,184,5400,8
Split,185,700,8
Split,186,18800,8
Split,187,2000,8
Split,188,1800,8
Split,189,4300,8
Split,190,2500,8
Split,191,2800,8
Split,192,1900,8
Split,193,1900,8
Split,194,2300,8
Split,195,1900,8
Split,196,1900,8
Split,197,2300,8
Split,198,1900,8
Split,199,2000,8
Split,200,2700,8
Split,201,2700,8
Split,202,2100,8
Split,203,2000,8
Split,204,2700,8
Split,205,3000,8
Split,206,2000,8
Split,207,2000,8
Split,208,2600,8
Split,209,3100,8
Split,210,2300,8
Split,211,2000,8
Split,212,2600,8
Split,213,2800,8
Split,214,2100,8
Split,215,2400,8
Split,216,3800,8
Split,217,3200,8
Split,218,2500,8
Split,219,2300,8
Split,220,3600,8
Split,221,3000,8
Split,222,2300,8
Split,223,2400,8
Split,224,5200,8
Split,225,4100,8
Split,226,3400,8
Split,227,3200,8
Split,228,5000,8
Split,229,3800,8
Split,230,2800,8
Split,231,1700,8
Split,232,2700,8
Split,233,2200,8
Split,234,2100,8
Split,235,2500,8
Split,236,2400,8
Split,237,2400,8
Split,238,1800,8
Split,239,2500,8
Split,240,2200,8
Split,241,1900,8
Split,242,2100,8
Split,243,2300,8
Split,244,1900,8
Split,245,2000,8
Split,246,2000,8
Split,247,2000,8
Split,248,2100,8
Split,249,2900,8
Split,250,2900,8
Split,251,2100,8
Split,252,2100,8
Split,253,2700,8
Split,254,2800,8
Split,255,2200,8
Split,256,2000,8
Split,257,2800,8
Split,258,2800,8
Split,259,2100,8
Split,260,2100,8
Split,261,2600,8
Split,262,2800,8
Split,263,2100,8
Split,264,2100,8
Split,265,2900,8
Split,266,3800,8
Split,267,3200,8
Split,268,2200,8
Split,269,2600,8
Split,270,3100,8
Split,271,3900,8
Split,272,3400,8
Split,273,2300,8
Split,274,2700,8
Split,275,3200,8
Split,276,3700,8
Split,277,3300,8
Split,278,2300,8
Split,279,2300,8
Split,280,3000,8
Split,281,5900,8
Split,282,3800,8
Split,283,2700,8
Split,284,2400,8
Split,285,3200,8
Split,286,3700,8
Split,287,3300,8
Split,288,2600,8
Split,289,1600,8
Split,290,2000,8
Split,291,1900,8
Split,292,1700,8
Split,293,1800,8
Split,294,2300,8
Split,295,2300,8
Split,296,2100,8
Split,297,2300,8
Split,298,2100,8
Split,299,2000,8
Split,300,2500,8
Split,301,2300,8
Split,302,800,8
Split,303,1700,8
Split,304,1900,8
Split,305,1700,8
Split,306,2500,8
